,ID,t,x,y,v,a,label
82,2,1.73806740181609e+18,-0.6684528586034174,1.0054396345512193,1.2381024976388,-76.45001969978058,
83,1,1.73806740243e+18,-0.1321,3.8499,0.0,0.0,
84,2,1.7380674023157898e+18,-0.7880711104185333,0.6865506754578266,1.231634571877094,-85.80706825237894,
85,1,1.738067402731e+18,-0.2474,3.5213,0.0,0.0,
86,2,1.738067402731e+18,-0.7893078879008355,0.2615000841017959,1.224776488269884,-89.476648875259,
87,5,1.73806740281604e+18,-0.828366128872924,0.5491692088200505,1.1106774169287834,-108.87224530772843,
88,2,1.73806740331575e+18,-0.823184367421585,-0.23884238634520794,1.22477238571729,-89.4767245912993,
89,5,1.73806740321588e+18,-0.6016871310003962,0.20186807413452781,0.9909967823575394,-125.1661714435862,
90,5,1.738067403725e+18,0.03806797870412,1.7048422193500992,0.952034181797581,-131.114412585634,
91,5,1.738067404498e+18,0.5102,1.6421999999999999,0.0,0.0,
92,5,1.73806740494e+18,0.7061,1.2147999999999999,0.0,0.0,
93,5,1.73806740543e+18,0.9437249999999999,0.7437,0.0,0.0,
94,5,1.738067406201e+18,1.1174,0.0011,0.0,0.0,
95,5,1.738067406201e+18,1.007775,0.022475000000000023,0.0,0.0,
96,5,1.738067406723e+18,0.774825,-0.18935000000000002,0.0,0.0,
97,5,1.738067407263e+18,0.538675,-0.5266,0.0,0.0,
98,4,1.738067408344e+18,-0.7782,0.5996,0.0,0.0,
99,5,1.738067408064e+18,0.2599,-1.12425,0.0,0.0,
100,4,1.73806740862e+18,-0.74805,0.57445,0.0,0.0,
101,5,1.738067408344e+18,0.09255,-1.22645,0.0,0.0,
102,5,1.738067408905e+18,0.05196666666666666,-1.4648333333333332,0.0,0.0,
103,5,1.738067409687e+18,0.1563,-1.4866,0.0,0.0,
104,5,1.738067409916e+18,0.17815,-1.45185,0.0,0.0,
105,4,1.7380674107158502e+18,-1.02865802068144,0.7424009847495321,1.17505130841453,61.3215560710827,
106,5,1.7380674104e+18,0.23985,-1.30125,1.17505130841453,61.3215560710827,
107,4,1.73806741081587e+18,-1.1625941843455898,0.9922975895551776,1.104050230602304,59.13784844654295,
108,5,1.738067410833e+18,0.345,-1.12465,1.104050230602304,59.13784844654295,
109,4,1.7380674113162798e+18,-1.3933729301632698,1.380936593801892,1.043007290444676,57.3036020681793,
110,5,1.738067411328e+18,0.4484,-0.7999,1.043007290444676,57.3036020681793,
111,4,1.7380674118162301e+18,-1.7300786884668402,1.7249137923567779,1.058651005732834,50.23800263825712,
112,5,1.738067411832e+18,0.5482,-0.48865,1.058651005732834,50.23800263825712,
113,4,1.7380674123162202e+18,-2.235654003029558,1.7652045377841983,1.0045411465238419,29.781471410038158,
114,5,1.738067412258e+18,0.6059,-0.30565,1.0045411465238419,29.781471410038158,
115,4,1.73806741281597e+18,-2.654118324711308,1.5008596803296221,0.9333736251053317,11.24312647122364,
116,4,1.7380674133159201e+18,-3.0485668694664025,1.5472618916103227,0.929906739287766,10.5892628108939,
