ObjectID,PositionX,PositionY,Timestamp, X,Y,Theta
1,0.2487,1.3111,1739270953.821000,-0.0051,-0.0035,0.0009
1,0.1600,1.3102,1739270954.042000,-0.0055,-0.0053,0.0007
1,0.0543,1.2610,1739270954.325000,-0.0051,-0.0036,0.0016
1,-0.0406,1.2314,1739270954.545000,-0.0057,-0.0067,0.0007
1,-0.1671,1.2059,1739270954.829000,-0.0052,-0.0034,0.0011
1,-0.2653,1.2108,1739270955.050000,-0.0060,-0.0060,0.0008
1,-0.3844,1.2561,1739270955.345000,-0.0053,-0.0059,0.0009
1,-0.4847,1.2282,1739270955.629000,-0.0046,-0.0066,0.0003
1,-0.6415,1.1983,1739270955.907000,-0.0055,-0.0058,0.0008
1,-0.7299,1.1781,1739270956.191000,-0.0053,-0.0052,0.0015
1,-0.8135,1.1669,1739270956.414000,-0.0053,-0.0063,0.0016
1,-0.9423,1.1669,1739270956.694000,-0.0060,-0.0053,0.0012
1,-1.0280,1.2422,1739270956.976000,-0.0053,-0.0047,0.0014
1,-1.0928,1.2547,1739270957.199000,-0.0054,-0.0043,0.0007
1,-1.1718,1.2271,1739270957.481000,-0.0046,-0.0074,0.0017
1,-1.2269,1.1820,1739270957.703000,-0.0048,-0.0062,0.0004
1,-1.2648,1.1725,1739270957.910000,-0.0054,-0.0073,0.0022
1,-1.3205,1.0750,1739270958.132000,-0.0053,-0.0051,0.0002
1,-1.3673,1.0767,1739270958.346000,-0.0050,-0.0051,0.0006
1,-1.4330,1.0894,1739270958.557000,-0.0060,-0.0052,0.0015
1,-1.4598,1.0221,1739270958.771000,-0.0051,-0.0062,0.0010
1,-1.4421,0.9344,1739270958.988000,-0.0057,-0.0051,0.0005
1,-1.3965,0.7886,1739270959.273000,-0.0050,-0.0070,0.0012
1,-1.3874,0.7045,1739270959.508000,-0.0053,-0.0055,0.0006
1,-1.3686,0.6153,1739270959.776000,-0.0057,-0.0069,0.0011
1,-1.3763,0.4816,1739270960.060000,-0.0049,-0.0079,0.0008
1,-1.3774,0.3997,1739270960.281000,-0.0061,-0.0057,0.0012
1,-1.3723,0.3495,1739270960.489000,-0.0050,-0.0068,0.0012
1,-1.3301,0.2428,1739270960.710000,-0.0048,-0.0071,0.0010
1,-1.2871,0.1473,1739270960.993000,-0.0044,-0.0064,0.0004
1,-1.2771,0.0838,1739270961.216000,-0.0050,-0.0067,0.0001
1,-1.2808,0.0386,1739270961.488000,-0.0058,-0.0078,0.0007
1,-1.3014,-0.1226,1739270961.712000,-0.0056,-0.0079,0.0004
1,-1.3372,-0.1982,1739270961.927000,-0.0056,-0.0079,0.0008
1,-1.3651,-0.2428,1739270962.210000,-0.0051,-0.0069,0.0006
1,-1.3818,-0.2651,1739270962.428000,-0.0062,-0.0072,0.0014
1,-1.3587,-0.2515,1739270962.714000,-0.0055,-0.0054,0.0015
1,-1.3516,-0.2014,1739270962.928000,-0.0064,-0.0059,0.0009
1,-1.3301,-0.1584,1739270963.143000,-0.0054,-0.0080,0.0015
1,-1.3372,-0.0993,1739270963.363000,-0.0066,-0.0081,0.0015
